,Joke,label
43,DID YOU HEAR FRANCE HAS A NEW NATIONAL FLAG? It is white with a white stripe and a white star!,1
44,What's the difference between a Canadian Hockey player and an Iraqi woman? The Hockey player takes a shower after three periods.,1
45,What do a vaccuum cleaner and an Iraqi Tank have in common? They both suck.,1
46,What do you call an Iraqi with a sheep under one arm and a goat underthe other? Bisexual.,1
47,What do you call an Iraqi with a sheep under each arm? A pimp.,1
48,What do you call an Iraqi who has sex with donkeys? Normal.,1
49,"What did the aspiring Zen Buddhist say to the hot dog vendor?  ""Make me one with everything.""",1
50,Who is the smallest man mentioned in the New Testament? Peter. (He slept on his watch),1
51,When is the first time motorcycles are mentioned in the bible? When David's Triumph was heard throughout the land.,1
52,Neutrinos have bad breadth.,1
53,Biology grows on you.,1
54,"What does a Polack use a ""rubber"" for?  Seal-a-meal",1
55,- What do you get when you cross a Polack and a Mongoloid with one leg? A Polaroid 1 Step,1
56,- What is better than 4 roses on a piano? Two lips on an organ,1
57,- What do you call a truck load of vibrators? Toys for twats,1
58,- What do you call a herd of masturbating cattle?  Beef Strokenoff,1
59,- Why does an elephant have 4 feet?  Because 8 inches isn't enough,1
60,- What do you call 2 gay guys named Bob?  Oral Roberts,1
61,- What can you use used tampons for?  Tea bags for vampires,1
62,- How can you tell a Polish woman is on her period?  She's only wearing 1 sock,1
63,What do you get when you cross a Mexican with an octopus? I don't know but it can sure pick lettuce,1
64,- What do soy beans and dildos have in common?Both are meat subsitutes,1
65,- What's the difference between chicken and meat?  If you beat your chicken it  would die,1
66,- How can you tell a Head nurse?  The one with dirty knees,1
67,- What do you get when you cross a Mexican with an Oriental?  A car thief who can't drive,1
68,What's worse than getting raped by Jack the Ripper?  Getting fingered by Captain Hook,1
69,- Why did the Italian staple his nuts together?  Since he couldn't lick them he felt he should join them,1
70,What's invisible and smells like carrots?  Bunny farts,1
71,Why can't little black kids play in sandboxes?  Cats keep trying to cover them up,1
72,What do elephants use for a tampon?  Sheep,1
73,Why don't Mexicans barbeque?  Because the beans slip through the grill,1
74,What do you call a one-legged woman? Ilene.,1
75,Why did the Aggie spend all night in front of the house of ill repute? He was waiting for the red light to turn green.,1
76,The only computers I trust with my women are Unix.,1
77,Why were Helen Keller's fingers purple?She heard it through the grapevine.,1
78,What is the difference between ooooh and aaaah?About three inches.,1
79,What is the difference between a dog and a fox?About three drinks.,1
80,What do you do with an elephant that has three balls? Walk him and pitch to the giraffe.,1
81,What are the three most difficult years for an Aggie? Second grade.,1
82,Did you hear about the Aggie car pool? They all meet at work.,1
83,Why were the Aggies pushing their house down the street? They were trying to jump-start the furnace.,1
84,Did you hear the Aggies bought a thousand septic tanks?As soon as they learn to drive them they'll invade Mexico.,1
85,What did the leper say to the prostitute? Keep the tip.,1
86,Did you hear about the Republican Fried Chicken fast food restaurant? All they serve are right wings and a**holes.,1
87,What is the difference between a rooster and a lawyer? The rooster clucks defiance.,1
88,What do you get when you cross a a rooster and a hoot owl? A cock that stays up all night.,1
89,Why did they kick the leper out of the restaurant? They had to keep changing the finger bowls.,1
90,What is the difference between a tribe of sly aborigines and a female track team? The first is a pack of cunning runts.,1
91,Why are there more Democrats than Republicans? Who wants a piece of elephant!,1
92,What did the hurricane say to the coconut tree? Hold on to your nuts---this is no ordinary blow job.,1
93,Did you hear about the prostitute that died and went to heaven? She traded her harp for an upright organ.,1
94,Why does the Easter Bunny hide his eggs? He doesn't want the world to know he's been making out with chickens.,1
95,What do you get when you cross a rooster with a telephone pole? A 40-foot cock that wants to reach out and touch someone.,1
96,Why don't midgets use tampons? They trip over the strings.,1
97,Did you hear about the elephant with diarrhea? It's all over town.,1
98,What do you call a leper in a hot tub? Soup.,1
99,Did you know production costs in the dairy business are high? A lot of expenses are in curd.,1
100,Watch out for lamp manufacturers. There are a lot of shady characters.,1
101,Did you hear about the guy who went bankrupt in the laundry business? He says he's all washed up.,1
102,What do you call a cow with only three legs? Lean beef.,1
103,What do you call a cow with no legs? Ground beef.,1
104,"What did the elephant say to the naked man? ""Can you breathe through that?""",1
105,Lawyers sometimes tell the truth. They'll do anything to win a case.,1
106,What do you call a row of rabbits that takes a step backwards? A receding hare-line.,1
107,What do you get when you pour scalding water down a rabbit hole? Hot cross bunnies.,1
108,What do you have when rabbits climb out of their hole? A hare-raising sight.,1
109,"What did the topless dancer say when chastised about her profession? ""It's better than being flat busted!""",1
110,When I fly on a jet my ears pop a lot; it's an earry feeling.,1
111,Some parents believe that spanking a child is an important part of rearing a child.,1
112,Twins might best be described as womb-mates.,1
113,Did you hear the elephants at the circus are going on strike? They're tired of working for peanuts.,1
114,Did you hear about the fight in the lion house at the zoo? A lion called another a cheetah.  Personally I think he was lion.,1
115,How do you keep an elephant from charging? Take away his credit card.,1
116,Did you hear about the animal hotel that has exclusive accommodations for squirrels? It's called The Nutcracker Suite.,1
117,What is the most vulnerable animal in the world? The frog.  When you touch it it croaks. Put another way one touch and it's toadalled.,1
118,Did you hear they are looking for someone to be in charge of potato snacks in the monastery? The job description will be:  Chipmonk.,1
119,Did you hear about the House-Senate conference committe considering legislation to decriminalize the use of marijuana? It's called the Joint Session of Congress.,1
120,What is the opposite of progress? Congress.,1
121,How can Congress trim the fat from Federal spending? By switching to lo-cal government.,1
122,The 200th anniversary of the founding of the buffalo sanctuaries will be marked by a Bisontennial celebration.,1
123,The Hawaiian Islands have many craters that were formed by volcanoes. You might say that the islands are full of ash holes.,1
124,Why did God give women vaginas? Because sheep can't cook.,1
125,Why do mice have tiny balls? Very few know how to dance.,1
126,What do you get when you cross a kangaroo with a mink. A fur coat with pockets.,1
127,Why is money green? Because Jews pick it before it is ripe.,1
128,What is long hard round and full of seamen? A submarine.,1
129,How do you keep a turkey in suspense? I'll tell you tomorrow.,1
130,What is the difference between love and Herpes? Herpes is forever.,1
131,Where do prostitutes go for recycling? The Virgin Islands.,1
132,What's grey and comes by the gallon? Elephants.,1
133,What is the difference between an Aggie and a pizza? The pizza doesn't scream when you put it in the oven.,1
134,How many Jewish mothers does it take to change a lightbulb?None.  They'd rather sit in the dark and suffer.,1
135,What do you call a gay Jew? A Heblew.,1
136,How do we know Christ wasn't born in Italy? There are no virgins and they couldn't find three wise men.,1
137,Did you hear about the Aggies that were arrested in the Iranian zoo? They were trying to free the hostriches.,1
138,Did you hear about the two blind gay guys? You've got to hand it to them.,1
139,Why are all Jewish men circumcized? Because Jewish women go crazy over anything 20% off.,1
140,How many Californians does it take to screw in a lightbulb?None.  They screw in hot tubs.,1
141,Why don't Baptists screw standing up? They're afraid people might think they're dancing.,1
142,What's the difference between erotic and kinky? Erotic you use a feather.  Kinky you use the whole chicken.,1
143,To love oneself is the beginning of a lifelong romance.,1
144,There's no future in time travel.,1
145,Entropy isn't what it used to be.,1
146,Insomnia isn't anything to lose sleep over.,1
147,"""Criminal Lawyer""  is  redundant.",1
148,To you I'm an atheist; to God I'm the Loyal Opposition.,1
149,When I was in school I cheated on my metaphysics exam. I looked into the soul of the boy sitting next to me.,1
150,I have a rock garden.  Last week three of them died.,1
151,He who laughs last is generally a bit slow.,1
152,Rings of Saturn are made entirely of lost airline luggage.,1
153,Disney World - a people trap operated by a mouse.,1
154,Hi I'm a tagline. When I grow up I'm gonna be a novel!,1
155,Please reply if you don't get this message.,1
156,Circular definition: see definition circular.,1
157,All generalizations are false.,1
158,I'm not as think as you drunk I am.,1
159,Change is inevitable except from a vending machine.,1
160,Rehab is for quitters.,1
161,I get enough exercise just pushing my luck.,1
162,Sometimes I wake up grumpy; Other times I let him sleep.,1
163,I took an IQ test and the results were negative.,1
164,Where there's a will I want to be in it.,1
165,Few women admit their age;  Fewer men act it.,1
166,I don't suffer from insanity I enjoy every minute of it.,1
167,IRS: We've got what it takes to take what you've got.,1
168,Time is the best teacher; Unfortunately it kills all its students.,1
169,A bartender is just a pharmacist with a limited inventory.,1
170,Give me ambiguity or give me something else.,1
171,i souport publik edekashun.,1
172,Beauty is in the eye of the beer holder...,1
173,How do you make a hormone? Don't pay her. ,1
174,What lies at the bottom of the sea and whimpers? A nervous wreck.,1
175,"What are the four words you don't want to hear while making love? ""Honey I'm home!""",1
176,Computer programmers don't byte they nybble a bit.,1
177,Drive defensively - buy a tank,1
178,A cucumber and a tomato meet in a saladbar. Cucumber: Gee how come you look so red? Tomato: I saw the salad dressing.,1
179,A bird in hand is safer than one overhead.,1
180,A woman without a man is like a fish without a bicycle.,1
181,I stayed up all night playing poker with tarot cards. I got a full house and four people died.,1
182,The brain is a wonderful organ:  it starts working the moment you get up in the morning and does not stop until you get to school.,1
183,You'd be paranoid too if everybody hated you.,1
184,Cole's Law:  Thinly sliced cabbage.,1
185,I'd give my right arm to be ambidextrous.,1
186,Duct tape is like the Force.  It has a light side and a dark side and it holds the universe together.,1
187,I used to think I was indecisive but now I'm not so sure.,1
188,There is so much sand in Northern Africa that if it were spread out it would completely cover the Sahara Desert.,1
189,It has been said that we only use 15% of our brain. I wonder what we do with the other 75%?,1
190,How much deeper would the oceans be without sponges?,1
191,I've got it!  I've got it!  Now for the cure...,1
192,A juggler is just a schizophrenic playing catch.,1
193,Polaroids: what polar bears get from sitting on the ice.,1
194,D.A.M.N. - Naked Mothers Against Dyslexia,1
195,There IS intelligent life in the universe.  It ignores us.,1
196,"Amish safe sex: painting an ""X"" on the cows that kick.",1
197,How long a minute is depends on which side of the bathroom door you're on.,1
198,Vitamin C deficiency is apauling.,1
199,Science is what happens when preconception meets verification.,1
200,Electrical Engineers do it with less resistance.,1
201,Wanna hear a joke? Sleep. I know I don't get it either,1
202,Do you smoke pot because weed be cute together,1
203,I just texted my girlfriend Ruth and told her it was over. I'm Ruthless.,1
204,Astronomers got tired of watching the moon go round the earth for 24 hours. So they decided to call it a day.,1
205,Is your name ariel because I think we mermaid for each other.,1
206,Math jokes aren't funny. Nothing about math is funny. Math is a sin.,1
207,Why do cows have hooves instead of feet? Because they lactose.,1
208,How did I escape Iraq? Iran,1
209,Whenever I want to start eating healthy a chocolate bar looks at me and Snickers.,1
210,I just wrote a really awesome song about a fajita. Well it's more of a wrap really.,1
211,I wonder if earth makes fun of other planets for having no life.,1
212,I met a girl with 12 nipples today. Sounds fun Dozen tit?,1
213,How does Moses make his tea? Hebrews it. I'm serious that Israeli how he does it.,1
214,You'd think that atoms bonding with other atoms would mean they're being friendly but really they steal each other's electrons. How ionic.,1
215,You're telling me I need to study? No thanks I'll pass.,1
216,My waitress threw sodium chloride at me. She was arrested and charged with a salt.,1
217,Why did the mushroom go to the party? Because he's a fungi! Why didn't he get in? There wasn't mushroom!,1
218,Where do astronauts go out for a drink? To the spacebar.,1
219,"What did the thermometer say to the graduated cylinder? ""You may have graduated but I've got hundreds of degrees""",1
220,If towels could tell jokes they would probably have a dry sense of humor.,1
221,I didn't like my beard at first but then it grew on me.,1
222,You're living you occupy space and have mass. What does that mean? You matter.,1
223,How does Nasa organize a party? They planet.,1
224,I'd say fuck the wheather but its definitely under 18...,1
225,I used to have a job crushing cans. It was soda pressing.,1
226,I'm glad I know sign language it's pretty handy.,1
227,What do you call a wizard who's running late for the Hogwarts Express? Hurry Potter.,1
228,I bought shoes from a drug dealer. I don't know what he laced them with but I've been tripping all day.,1
229,I'd tell you a chemistry joke but I know I wouldn't get a reaction.,1
230,When I drink alcohol everyone says im an alcoholic. When I drink fanta no one says I'm fantastic.,1
231,"What did Barack Obama say to Michelle when he proposed? ""I don't wanna be Obama self""",1
232,Did Snoop Dogg really change his name or is Snoop Lion?,1
233,I heard that Oxygen and Magnesium are going out. I was like OMg.,1
234,A book fell on my head... I can't blame myshelf.,1
235,I wish I had a pair of skinny genes.,1
236,Mathematics teachers call retirement 'the aftermath.',1
237,A chemistry lab is like a big party. Some drop the acid while others drop the base.,1
238,How much did Santa pay for his sleigh? Nothing because it was on the house!,1
239,What do you call a fake macaroni? An impasta.,1
240,I told my friend 10 jokes to get him to laugh. Sadly no pun in 10 did.,1
241,The invention of the shovel was groundbreaking.,1
242,What do you get when you cross a dyslexic an insomniac and an agnostic? Someone who lays awake at night wondering if there is a dog,1
243,What do you call bears with no ears? B,1
244,When u tryna be cheesy but everyone around u is laughtose intolerant.,1
245,Where would Voldemort go if he played the trumpet? Jazzkaban.,1
246,What do you call a lazy kangaroo? A pouch potato.,1
247,How do trains eat? They chew-chew.,1
248,What do you call a labrador that becomes a magician? A Labracadabrador.,1
249,My friend asked me to stop singing oasis songs in public. I said maybe.,1
250,I used to hate math but now I realised decimals have a point.,1
251,I think my friend was built backwards. His nose runs and his feet smell.,1
252,How much room is needed to grow funghi? As Muchroom as possible.,1
253,Keep the planet clean it's not uranus. ,1
254,If April showers bring May flowers what do May flowers bring? Pilgrims.,1
255,Why was the Thanksgiving soup so expensive? It had 24 carrots.,1
256,What kind of music did the Pilgrims like? Plymouth Rock,1
257,The rotation of Earth always makes my day.,1
258,(p + l)(a + n)=pa+pn+la+ln. We just foiled your plan.,1
259,Chemistry jokes are Sodium funny.,1
260,I made a shirt out of thumb tacks because I wanted to look sharp but everyone said it was tacky.,1
261,Sorry I'm poor I can't afford to pay attention.,1
262,What did the biologist wear on his first date? Designer genes.,1
263,Are you flourine iodine and neon? Cause you are FINe.,1
264,Some guy just assaulted me with milk cream and butter. How dairy!,1
265,Why do ghosts love elevators? Cause they lift their spirits.,1
266,A Physicist and a Biologist had a relationship but there was no Chemistry.,1
267,Do you know why Frequency cannot love any more? Cause it still hertz.,1
268,What building isn't trustworthy? The lie-brary.,1
269,What did the scientist say when he found two helium atoms? HeHe,1
270,How many mice does it take to screw in a light bulb? Two. (Hint:  They are small enough to fit inside).,1
271,How many Polacks does it take to change a light bulb?Just one but you need 6000 Russian troops in case he goes on strike!,1
272,How many WASP's does it take to screw in a light bulb? Silly WASP's don't screw in a light bulb they screw in a hot tub.,1
273,How many Jewish American Princesses does it take to change a light bulb? Two.  One to pour the Tab and one to phone Daddy.,1
274,How many Marxist's does it take to change a light bulb? None: The light bulb contains the seeds of its own revolution.,1
275,How many (Generals/Politicians) does it take to change a light bulb? 1000001. One to change the bulb and 1000000 to rebuild civilizationto the point where they need light bulbs again.,1
276,How many New Yorkers does it take to screw in a light bulb? None of your damn business!,1
277,How many Christians does it take to change a light bulb? Three but they're really only one.,1
278,How many jugglers does it take to change a light bulb? One but it takes at least three light bulbs.,1
279,How many Feminists does it take to change a light bulb? That's not funny!!!,1
280,How many supply-siders does it take to change a light bulb? None. The darkness will cause the light bulb to change by itself.,1
281,How many valley girls does it take to change a light bulb? Manual labor? Gag me with a spoon!,1
282,How many straight San Franciscans does it take to screw in a light bulb? Both of them.,1
283,How many Zen masters does it take to screw in a light bulb? Two. One to change the bulb and one not to change it.,1
284,How many Carl Sagans does it take to screw in a light bulb? Billions and billions.,1
285,How many folk singers does it take to screw in a light bulb? Two. One to change it and one to write a song about how good the old light bulb was.,1
286,How many surrealists does it take to change a light bulb? Two. One to hold the giraffe and the other to fill the bathtub with brightly colored machine tools.,1
287,How many doctors does it take to screw in a light bulb? Three. One to find a bulb specialist one to find a bulb installation specialist and one to charge the bill.,1
288,How many psychologists does it take to change a light bulb? None the bulb will change itself when its ready.,1
289,What is the difference between a pregnant woman and a light bulb? You can unscrew a lightbulb.,1
290,How many managers does it take to change a light bulb? Three. One to get the bulb and two to get the phone number to dial one of their subordinates to actually change it.,1
291,How many Bratzlaver Chassidim does it take to change a light bulb? None. They will never find one that burned as brightly as the first one.,1
292,How many graduate students does it take to change a light bulb? Only one but it takes nine years.,1
293,How many professors does it take to change a light bulb? Only one but they get three tech reports out of it.,1
294,How many people from New Jersey does it take to change a light bulb? Three. One to change the light bulb one to be a witness and the third to shoot the witness.,1
295,Astronomers got tired of watching the moon go round the earth for 24 hours.So they decided to call it a day.,1
296,Butterflies are not what they used to be.,1
297,Don't join dangerous cults. Always practice safe sects!,1
298,"Why is it called a ""building"" when it is already built?",1
299,I'm making a fruit salad and the recipe says Pineapples - Five cubed. Where on Earth am I going to get 125 pineapples?,1
300,We'll never run out of maths teachers.. because they keep multiplying.,1
301,Things are always easier said than done..Except for talking that's pretty much the same really.,1
302,I've just been house hunting. One place had mirrors covering the walls of every room. I thought.. 'I can see myself living here',1
303,What do you get when you cross a stream and a brook? Wet feet.,1
304,How is it possible to have a 'civil' war?,1
305,I received an email asking me to send trouser zips to the address provided.But I ignored it sounds like they're fly phishing to me.,1
306,What did the 0 say to the 8? Nice belt!,1
307,I was so cold today that my jaw started to freeze..So I gritted my teeth.,1
308,I bought an off-road vehicle in a blind auction..Got it delivered and It was a canoe.,1
309,"What's green and goes ""Riggit Riggit"" ?A frog with badly fitting false teeth.",1
310,What does Geronimo say when he jumps out of a plane?,1
311,I was going to quit all my bad habits for the new year but then I remembered that nobody likes a quitter.,1
312,My news years resolution is to save up and buy a velcro wall..and I plan on sticking to it!,1
313,If you were born in September its pretty safe to assume your parents started out the New Year with a Bang!,1
314,My news years resolution this year is to give up sexual innuendos.But it's so hard..,1
315,After hours of thinking I've finally decided on my new years resolution: 1920 x 1080,1
316,I had a fight with a snowman last night. He didn't last long....things got a bit heated.,1
317,I just pulled a Christmas crackererm.. There's a joke in there somewhere.,1
318,I got my wife the leg off a mannequin for Christmas. It's not her main present..just a stocking filler,1
319,What is Santa's favourite pizza?One that's deep pan crisp and even.,1
320,What do you call a snowman with a suntan? A puddle.,1
321,Our kids always find their Christmas presents early no matter where we hide them.So this year we've locked them in the attic..,1
322,I've been seeing someone behind my girlfriend's back..I think she's got a stalker.,1
323,I remember when my parents died all they left me was a globe.. It meant the world to me.,1
324,If you ate pasta and antipasta would you still be hungry?,1
325,Did you hear about the dumb woodworm?He was found dead inside a house brick.,1
326,My wife's head just spun around and then she vomited green slimeI've no idea what's possessed her.,1
327,A skeleton goes into a bar and orders a pint of beer and a mop..,1
328,Did you hear about the cobbler who made a satanic pact?He sold his sole to the devil.,1
329,Why didn't the skeleton go to the party?Because he had no body to go with.,1
330,"A ghost walks into a bar and orders a shot of vodka. The bartender says ""Sorry we don't serve spirits here.""",1
331,If you don't pay your exorcist you can get repossessed.,1
332,If a plane is an aircraft does that make a broom a witchcraft?,1
333,Why did Dracula go to the doctors?Because of his coffin.,1
334,You feel stuck with your debt..If you can't budge it.,1
335,I was gonna nail a shelf to my wall but then I thought Screw it!,1
336,What do you call a man who can't stop stealing? Nick.,1
337,I accidentally left an apple outside my local GP's surgery.Now he won't be able to get in.,1
338,I've just been given a pack of playing cards covered in strawberry jam..I'm finding them very had to deal with.,1
339,Sometimes I laugh so much that a bit of wee comes out. It's really starting to worry me..Why is wee coming out of my mouth?,1
340,I bloody hate flash mobs.One once kicked my door down and forced me to update my Adobe.,1
341,I took the rear view mirror out of my car and since then..I've never looked back,1
342,My local butcher is seven foot tall and a size fourteen shoe.. what does he weigh? Sausages.,1
343,What do you call a man with a rabbit in his mouth?Warren.,1
344,My younger brother was named after my fatherA bit confusing when your brother is named 'Dad' though.,1
345,What do you call a man with a map on his head? Miles.,1
346,What do you call a woman who sounds like an ambulance? Nina.,1
347,Why did the football manager give his team lighters? Cos they kept losing all of their matches.,1
348,One Bear.(That's the bear minimum),1
349,My uncle works for a company that makes bicycle wheels.He's the Spokesman.,1
350,I just got a Scottish sheep dog from the pound but sadly my wife can't see it..She's collie blind.,1
351,What do you call a woman who stands straddling a river? Bridgette.,1
352,What's a twack? Something a twain wuns on.,1
353,I distorted a Tortoise earlier..Now it's just an Oise.,1
354,I keep having a recurring nightmare where I'm surrounded by loads of pregnant women in labour.I think I may be having a midwife crisis..,1
355,What's the definition of a snail?A slug with a crash helmet.,1
356,31 years ago today the doctor delivered me.I can't believe I've survived so long without a liver.,1
357,I work for the NHS dealing with moving patients between different areas of the hospital..It's a re-warding job.,1
358,I've just been outside helping a guy in a black robe with a scythe clear the frost off his car. I was de-icing with death.,1
359,My grandfather puts horse manure on his rhubarb..I prefer it with custard.,1
360,My pet mouse 'Elvis' died last last..He was caught in a trap..,1
361,I just saw on the news'Missing girl found safe'What I wanna know is..Could she crack it?,1
362,What do you call a man who comes in through the letter box?Bill.,1
363,What's small brown hairy and wears sunglasses?A coconut in disguise.,1
364,Did you hear about those new corduroy pillowcases? They're making headlines..,1
365,My dog is named Minton. Today he ate a shuttlecock.. Bad Minton!,1
366,To be frank..would involve changing my name.,1
367,How do you make a squirrel cry? Pinch it's nuts.,1
368,2B or not 2B. That is the pencil.,1
369,What do you call a run down Italian neighbourhood?The Spaghetto.,1
370,Did you hear about the astronaut who stepped on some chewing gum? He got stuck in Orbit.,1
371,The rotation of the planet Earth really makes my day!,1
372,What kind of moron invented the fire blanket? Surely fire is warm enough already?..,1
373,I thought opening the door for a lady was the polite thing to do..but she just screamed and flew out of the plane..,1
374,"I had a go at parachuting today.I went to the local airfield and said ""Stupid parachute morons jumping out of bloody planes""",1
375,"I bought a battery powered clock  today.When I got home I noticed that they had given me the wrong one.I thought ""This is a wind up!""",1
376,Why was the robot mad? Because people kept pushing its buttons.,1
377,I just got back from a very emotional wedding.. Even the cake was in tiers.,1
378,How does Moses make his tea? Hebrews it.,1
379,I was arguing with my girlfriend in Nando's when my best mate ran off with the garlic bread and coleslaw. I wish he would stop taking sides.,1
380,Why are there fish at the bottom of the sea? Cos they dropped out of school.,1
381,How did a fool and his money get together in the first place?,1
382,Why can't a bicycle stand on it's own? Cos it's two tired.,1
383,Why did the golfer wear two pairs of trousers? In case he got a hole in one!,1
384,A policeman asked me to come down to the station for an interview...I haven't even applied for a job there!,1
385,"My mate just came fourth in a Body-Snatching contest. I told him ""It's not the winning it's the taking parts that counts""",1
386,What's the best way to catch a rabbit?Hide in the bushes and make lettuce noises.,1
387,A mysterious hole has been found in the local nudist camp wall. The police are looking into it.,1
388,"Two vultures board an airplane each carrying two dead raccoons. The stewardess says: ""Sorry gentlemen only one carrion per passenger.""",1
389,Why did the banana go to the hospital? Because he wasn't peeling well.,1
390,Some people have a way with words Others not have way.,1
391,The universe implodes... No matter.,1
392,The invention of the shovel was ground-breaking.,1
393,Why did the orange stop? Because it ran out of juice.,1
394,I just found out that 'Aarrgghh' is not a real word.I can't even tell you how angry I am!,1
395,What's yellow and square?A tomato in disguise.,1
396,My mate walked into Carphone Warehouse held the manager at gunpoint and made her top up his mobile phone for free.Full credit to him!,1
397,What do you call a sleepwalking nun?A roamin' Catholic.,1
398,How do you tell the difference between a crocodile and an alligator?You will see one later and one in a while.,1
399,"""Vodka! Whiskey! Tequila!"" I call the shots!",1
400,I got kicked out of my local music shop after asking about a Coldplay song. I was clearly looking for Trouble.,1
401,If a pig loses its voice does it become disgruntled?,1
402,"I was trying to explain the concept of Twitter to my friend. But she finally said ""I don't follow you""",1
403,Where are average things built?In the satisfactory.,1
404,A huge section of tree just broke off and demolished a bank in town. I've no idea which branch it was though..,1
405,Where do boats go when they are sick? The dock.,1
406,Did you hear about the vampire bicycle that went around biting people? It was a vicious cycle.,1
407,After a bad day I came home to find that somebody has ripped the front and back pages from my dictionary.It just goes from bad to worse.,1
408,How come there is no other name for thesaurus?,1
409,What do you say if you're talking to God... and he sneezes?,1
410,To whoever invented the zero..Thanks for nothing.,1
411,Me and my limbo team go way back.,1
412,Apparently our local Police station has had it's toilet stolen. Police have nothing to go on.,1
413,I've taken up speed reading. I can read 'War and Peace' in 20 seconds. It's only 3 words but it's a start.,1
414,I was going to do a joke about a germ But I wouldn't want to spread it around.,1
415,Why does a hummingbird hum? Because it doesn't know the words.,1
416,I had a threesome with a scalene and an isosceles.It was a love triangle.,1
417,A small boy swallowed some coins and was taken to hospital. His Mother phoned to ask how he was and the nurse said 'There's no change yet',1
418,Why didn't Noah just swat those two mosquitoes?,1
419,What happens if you go on a survival course..and you don't pass?,1
420,I don't want to sound big headed but I wear a size XXL hat.,1
421,Whose cruel idea was it for the word 'lisp' to have an s in it?,1
422,I was going to do a joke about construction.. but I'm still working on it.,1
423,What do you call a sheep with no head and no legs? A cloud.,1
424,I got my child to sleep last night by just repeatedly saying 'bursary'.It was the only nursery rhyme I could think of.,1
425,My Doctor gave me something to treat my haemorrhoids. But personally I'm not so sure they deserve a treat.,1
426,I was gonna tell a joke about a roof but it would probably go over peoples heads.,1
427,Whoever put the letter 'b' in the word 'subtle' deserves a pat on the back.,1
428,"I ordered a hotel wake-up call the other day. The phone rang and a woman's voice said ""What the hell are you doing with your life?""",1
429,When I found out that my masseuse is also a prostitute I was relieved.,1
430,I start my new job in Seoul next week. I thought it was a good Korea move.,1
431,"A duck was about to cross the road when a chicken came running and said ""No don't do it! You'll never hear the bloody end of it""",1
432,Gambling has brought our family together. We had to move to a smaller house.,1
433,I never make mistakes I thought I did once.. but I was wrong.,1
434,Never iron a four leaf clover. You don't want to press your luck.,1
435,What did the rug say to the floor?Don't move I've got you covered.,1
436,My dog chased a kid on a bike So we took away his bike.But he kept barking.So we gave it back.Because his bark is worse than his bike.,1
437,There's now a record number of male hairdressers in this country. More evidence of our society's descent into barberism.,1
438,I had some time to kill..So I started with the mother in law.,1
439,I was gonna do a joke about unemployment.. but it needs some work.,1
